index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-8960d449-6e11-ee80-a0de-0a1b7c845762,512.52,NVIDIA GeForce RTX 2060,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,6,6144,963,5016,2023/03/05 17:02:34.085
0,18,6144,1440,4539,2023/03/05 17:03:04.128
0,16,6144,1440,4539,2023/03/05 17:03:34.172
0,24,6144,1405,4574,2023/03/05 17:04:04.237
0,26,6144,1398,4581,2023/03/05 17:04:34.296
0,9,6144,1466,4513,2023/03/05 17:05:04.357
0,13,6144,1440,4539,2023/03/05 17:05:34.409
0,17,6144,1513,4466,2023/03/05 17:06:04.466
0,9,6144,1513,4466,2023/03/05 17:06:34.535
0,8,6144,1501,4478,2023/03/05 17:07:04.604
0,8,6144,1501,4478,2023/03/05 17:07:34.650
0,10,6144,1492,4487,2023/03/05 17:08:04.704
0,8,6144,1488,4491,2023/03/05 17:08:34.773
0,8,6144,1487,4492,2023/03/05 17:09:04.832
0,8,6144,1483,4496,2023/03/05 17:09:34.884
0,9,6144,1487,4492,2023/03/05 17:10:04.931
0,11,6144,1487,4492,2023/03/05 17:10:34.991
0,10,6144,1487,4492,2023/03/05 17:11:05.033
0,8,6144,1487,4492,2023/03/05 17:11:35.088
0,8,6144,1487,4492,2023/03/05 17:12:05.130
0,13,6144,1487,4492,2023/03/05 17:12:35.188
0,12,6144,1487,4492,2023/03/05 17:13:05.234
0,10,6144,1483,4496,2023/03/05 17:13:35.276
0,8,6144,1487,4492,2023/03/05 17:14:05.356
0,8,6144,1483,4496,2023/03/05 17:14:35.415
0,14,6144,1487,4492,2023/03/05 17:15:05.457
0,13,6144,1487,4492,2023/03/05 17:15:35.523
0,11,6144,1485,4494,2023/03/05 17:16:05.590
0,9,6144,1485,4494,2023/03/05 17:16:35.635
0,8,6144,1485,4494,2023/03/05 17:17:05.678
0,13,6144,1485,4494,2023/03/05 17:17:35.737
0,13,6144,1485,4494,2023/03/05 17:18:05.795
0,12,6144,1485,4494,2023/03/05 17:18:35.858
0,11,6144,1485,4494,2023/03/05 17:19:05.924
0,9,6144,1485,4494,2023/03/05 17:19:35.971
0,13,6144,1485,4494,2023/03/05 17:20:06.043
0,13,6144,1485,4494,2023/03/05 17:20:36.112
0,12,6144,1485,4494,2023/03/05 17:21:06.171
0,12,6144,1485,4494,2023/03/05 17:21:36.231
0,11,6144,1485,4494,2023/03/05 17:22:06.289
0,11,6144,1485,4494,2023/03/05 17:22:36.350
0,13,6144,1433,4546,2023/03/05 17:23:06.409
0,13,6144,1433,4546,2023/03/05 17:23:36.452
0,13,6144,1433,4546,2023/03/05 17:24:06.524
0,13,6144,1433,4546,2023/03/05 17:24:36.584
0,10,6144,1433,4546,2023/03/05 17:25:06.627
0,11,6144,1433,4546,2023/03/05 17:25:36.669
0,13,6144,1433,4546,2023/03/05 17:26:06.709
0,14,6144,1433,4546,2023/03/05 17:26:36.753
0,8,6144,1433,4546,2023/03/05 17:27:06.812
0,8,6144,1432,4547,2023/03/05 17:27:36.886
0,10,6144,1432,4547,2023/03/05 17:28:06.949
0,11,6144,1432,4547,2023/03/05 17:28:36.991
0,12,6144,1432,4547,2023/03/05 17:29:07.033
0,8,6144,1432,4547,2023/03/05 17:29:37.076
0,8,6144,1432,4547,2023/03/05 17:30:07.133
0,8,6144,1432,4547,2023/03/05 17:30:37.188
0,10,6144,1432,4547,2023/03/05 17:31:07.244
0,11,6144,1432,4547,2023/03/05 17:31:37.316
0,8,6144,1432,4547,2023/03/05 17:32:07.372
0,8,6144,1432,4547,2023/03/05 17:32:37.428
0,8,6144,1432,4547,2023/03/05 17:33:07.485
0,9,6144,1432,4547,2023/03/05 17:33:37.542
0,9,6144,1432,4547,2023/03/05 17:34:07.596
0,8,6144,1433,4546,2023/03/05 17:34:37.653
0,8,6144,1424,4555,2023/03/05 17:35:07.725
0,8,6144,1425,4554,2023/03/05 17:35:37.797
0,8,6144,1424,4555,2023/03/05 17:36:07.853
0,9,6144,1425,4554,2023/03/05 17:36:37.908
0,8,6144,1425,4554,2023/03/05 17:37:07.949
0,8,6144,1424,4555,2023/03/05 17:37:37.993
0,8,6144,1425,4554,2023/03/05 17:38:08.037
0,8,6144,1424,4555,2023/03/05 17:38:38.095
0,9,6144,1425,4554,2023/03/05 17:39:08.137
0,8,6144,1425,4554,2023/03/05 17:39:38.182
0,8,6144,1425,4554,2023/03/05 17:40:08.241
0,8,6144,1425,4554,2023/03/05 17:40:38.314
0,8,6144,1425,4554,2023/03/05 17:41:08.369
0,11,6144,1425,4554,2023/03/05 17:41:38.430
0,10,6144,1425,4554,2023/03/05 17:42:08.489
0,8,6144,1425,4554,2023/03/05 17:42:38.560
0,8,6144,1425,4554,2023/03/05 17:43:08.623
0,8,6144,1425,4554,2023/03/05 17:43:38.684
0,8,6144,1425,4554,2023/03/05 17:44:08.759
0,10,6144,1425,4554,2023/03/05 17:44:38.829
0,9,6144,1425,4554,2023/03/05 17:45:08.874
0,8,6144,1425,4554,2023/03/05 17:45:38.932
0,8,6144,1425,4554,2023/03/05 17:46:09.004
0,12,6144,1425,4554,2023/03/05 17:46:39.049
0,12,6144,1424,4555,2023/03/05 17:47:09.107
0,11,6144,1425,4554,2023/03/05 17:47:39.178
0,10,6144,1425,4554,2023/03/05 17:48:09.239
0,8,6144,1425,4554,2023/03/05 17:48:39.300
0,12,6144,1424,4555,2023/03/05 17:49:09.360
0,13,6144,1420,4559,2023/03/05 17:49:39.429
0,12,6144,1425,4554,2023/03/05 17:50:09.470
0,10,6144,1425,4554,2023/03/05 17:50:39.529
0,9,6144,1435,4544,2023/03/05 17:51:09.600
0,13,6144,1438,4541,2023/03/05 17:51:39.658
0,13,6144,1439,4540,2023/03/05 17:52:09.730
0,14,6144,1439,4540,2023/03/05 17:52:39.793
0,11,6144,1439,4540,2023/03/05 17:53:09.863
0,10,6144,1439,4540,2023/03/05 17:53:39.934
0,13,6144,1438,4541,2023/03/05 17:54:10.007
0,13,6144,1438,4541,2023/03/05 17:54:40.066
0,13,6144,1439,4540,2023/03/05 17:55:10.126
0,12,6144,1439,4540,2023/03/05 17:55:40.197
0,11,6144,1438,4541,2023/03/05 17:56:10.257
0,11,6144,1439,4540,2023/03/05 17:56:40.314
0,13,6144,1438,4541,2023/03/05 17:57:10.371
